Pergunta;Resposta esperada;GPT 4o;GPT 4o (s);DeepSeek R1;DeepSeek R1 (s);LLama 4 Scout;LLama 4 Scout (s);Gemini 2.0 Flash;Gemini 2.0 Flash (s);Gemma 3n;Gemma 3n (s);Phy 4;Phy 4 (s);Qwen3-235b;Qwen3-235b (s)
Qual documento é necessário para compensação de falta por motivo religioso?;requerimento deverá ser acompanhado de declaração, firmada por representante da organização religiosa a qual o estudante esteja vinculado, especificando dia(s) e horário(s) em que é vedado o exercício de atividades educacionais.;É necessário um requerimento próprio protocolado no DERAC, acompanhado de uma declaração da organização religiosa especificando os dias e horários em que o estudante não pode realizar atividades educacionais.;2,2;O requerimento deve ser acompanhado de declaração firmada por representante da organização religiosa a qual o estudante esteja vinculado, especificando dia(s) e horário(s) em que é vedado o exercício de atividades educacionais.;8,64;Um requerimento próprio protocolado no DERAC acompanhado de declaração, firmada por representante da organização religiosa, especificando dia(s) e horário(s) em que é vedado o exercício de atividades educacionais.;1,98;"O requerimento deverá ser acompanhado de declaração, ?rmada por representante da organização religiosa a qual o estudante esteja vinculado, especi?cando dia(s) e horário(s) em que é vedado o exercício de atividades educacionais.
";2,51;"

declaração, firmada por representante da organização religiosa a qual o estudante esteja vinculado, especificando dia(s) e horário(s) em que é vedado o exercício de atividades educacionais.";2,51;O requerimento próprio, acompanhado de declaração firmada por representante da organização religiosa, especificando dia(s) e horário(s) em que é vedado o exercício de atividades educacionais.;1,92;O documento necessário para a compensação de falta por motivo religioso é uma declaração firmada por representante da organização religiosa à qual o estudante esteja vinculado, especificando dia(s) e horário(s) em que é vedado o exercício de atividades educacionais.;2,64
Quando pode ter dispensa de aula?;"Poderá haver dispensa de frequência, a critério do professor, quando ocorrer as seguintes situações:
I - atividades de recuperação;
II - avaliações de recuperação;
III - avaliações de segunda chamada.";A dispensa de aula pode ocorrer nas seguintes situações: atividades de recuperação, avaliações de recuperação, avaliações de segunda chamada, para estudantes calouros que ingressaram após o início das aulas ou por meio de ações judiciais, e em casos de força maior ou atividades relevantes no âmbito do curso e/ou do campus.;2,42;"Com base nos documentos, a dispensa de aula pode ocorrer nas seguintes situações:

1.  **Atividades de recuperação;**
2.  **Avaliações de recuperação;**
3.  **Avaliações de segunda chamada;**
4.  **Para calouros que ingressaram após o início das aulas ou por ações judiciais (dispensa nos dias letivos anteriores à matrícula);**
5.  **Caso fortuito ou força maior;**
6.  **Atividades relevantes no âmbito do curso e/ou do campus.**

*(A dispensa nos itens 1, 2, 3 e 5-6 ocorre a critério do professor, que deve informar o estudante. A dispensa no item 4 é automática para os casos descritos).*";15,26;"Pode haver dispensa de frequência, a critério do professor, nas seguintes situações: 

- Atividades de recuperação;
- Avaliações de recuperação;
- Avaliações de segunda chamada;
- Para estudantes calouros que tenham ingressado em chamadas posteriores ao início das aulas ou por meio de ações judiciais;
- Em casos de força maior, caso fortuito ou atividades relevantes no âmbito do curso e/ou do campus.";3,13;"Poderá haver dispensa de frequência, a critério do professor, quando ocorrerem atividades de recuperação, avaliações de recuperação e avaliações de segunda chamada. Estudantes calouros que tenham entrado em chamadas posteriores ao início das aulas ou os alunos que tenham ingressado por meio de ações judiciais também terão dispensa de frequência nos dias letivos anteriores à data de sua matrícula na UTFPR. Além disso, poderá haver dispensa de frequência para os casos de força maior, de caso fortuito, ou de atividades relevantes no âmbito do curso e/ou do campus.
";2,86;Atividades de recuperação, avaliações de recuperação, avaliações de segunda chamada, caso fortuito ou de força maior, atividades relevantes no âmbito do curso e/ou do campus, dias letivos anteriores à matrícula para calouros que ingressaram em chamadas posteriores ao início das aulas ou por meio de ações judiciais.;4,38;"Poderá haver dispensa de frequência nas seguintes situações:

1. Atividades de recuperação;
2. Avaliações de recuperação;
3. Avaliações de segunda chamada;
4. Dias letivos anteriores à data de matrícula de estudantes calouros que tenham ingressado em chamadas posteriores ao início das aulas ou por meio de ações judiciais;
5. Casos de força maior ou fortuito;
6. Atividades relevantes no âmbito do curso e/ou do campus.";5,96;A dispensa de aula pode ocorrer em situações como: atividades de recuperação, avaliações de recuperação, avaliações de segunda chamada, nos dias letivos anteriores à data de matrícula de calouros que ingressaram em chamadas posteriores ao início das aulas ou por meio de ações judiciais, bem como em casos fortuitos, de força maior ou para atividades relevantes no âmbito do curso e/ou do campus.;2,91
O que é jubilamento?;"Entende-se por jubilamento o desligamento compulsório do estudante que não tenha
concluído seu curso dentro do prazo máximo, estabelecido em função da duração do curso.";Jubilamento é o desligamento compulsório do estudante que não tenha concluído seu curso dentro do prazo máximo estabelecido em função da duração do curso.;1,78;Jubilamento é o desligamento compulsório do estudante que não concluiu seu curso dentro do prazo máximo estabelecido em função da duração do mesmo.;8,37;Entende-se por jubilamento o desligamento compulsório do estudante que não tenha concluído seu curso dentro do prazo máximo, estabelecido em função da duração do curso.;2,47;"Entende-se por jubilamento o desligamento compulsório do estudante que não tenha concluído seu curso dentro do prazo máximo, estabelecido em função da duração do curso.
";2,57;o desligamento compulsório do estudante que não tenha concluído seu curso dentro do prazo máximo, estabelecido em função da duração do curso.;4,57;Jubilamento é o desligamento compulsório do estudante que não tenha concluído seu curso dentro do prazo máximo, estabelecido em função da duração do curso.;2,99;"Jubilamento é o desligamento compulsório de um estudante que não concluiu seu curso dentro do prazo máximo estabelecido, determinado com base na duração normal do curso. Para cursos de graduação, os prazos máximos são: 18 meses para cursos com 9 ou mais semestres; 15 semestres para cursos de 8 semestres; 14 semestres para cursos de 7 semestres; e 12 semestres para cursos de 6 semestres. Nos casos de estudantes com necessidades educacionais especiais ou situações de força maior, julgados por comissão específica, esses prazos podem ser dilatados em até 50%. Durante o processo, a matrícula do aluno é bloqueada, e ele tem direito a contraditório e ampla defesa, podendo recorrer ao Diretor de Graduação e Educação Profissional no prazo de 10 dias úteis após a publicação do parecer da comissão.";34,72
Onde devo fazer o pedido de compensação de falta por motivo religioso?;A solicitação do regime de compensação de faltas por motivos religiosos deverá ser feita, pelo estudante, por meio de requerimento próprio e protocolado no DERAC.;O pedido de compensação de falta por motivo religioso deve ser feito por meio de requerimento próprio e protocolado no DERAC.;1,54;O pedido de compensação de falta por motivo religioso deve ser protocolado no DERAC.;7,44;DERAC.;2,62;"O pedido deve ser protocolado no DERAC.
";2,52;No DERAC.;2,2;O pedido de compensação de falta por motivo religioso deve ser feito, pelo estudante, por meio de requerimento próprio e protocolado no DERAC.;2,72;Você deve fazer o pedido de compensação de falta por motivo religioso por meio de um requerimento próprio protocolado no DERAC.;1,86
O que é a compensação de falta por motivo religioso?;É assegurado ao estudante regularmente matriculado, no exercício da liberdade de consciência e de crença, o direito de, mediante prévio e motivado requerimento, ausentar-se de prova ou de aula marcada para dia em que, segundo os preceitos de sua religião,;A compensação de faltas por motivos religiosos é o direito assegurado ao estudante regularmente matriculado de se ausentar de provas ou aulas em dias em que, segundo os preceitos de sua religião, é vedado o exercício de tais atividades, mediante prévio e motivado requerimento. A compensação pode incluir a realização de avaliações em datas alternativas ou atividades de compensação de faltas, conforme definido pelo professor responsável.;2,02;"A compensação de falta por motivo religioso é o direito do estudante de ausentar-se de aulas ou provas em dias em que sua religião proíbe tais atividades, mediante requerimento prévio. Como alternativa, ele pode:  
1. **Realizar avaliações perdidas em data alternativa** (no mesmo turno ou horário acordado);  
2. **Executar atividades compensatórias definidas pelo professor**, no caso de faltas em aulas.";4,44;É um direito assegurado ao estudante regularmente matriculado, no exercício da liberdade de consciência e de crença, de ausentar-se de prova ou de aula marcada para dia em que, segundo os preceitos de sua religião, seja vedado o exercício de tais atividades. Sendo concedida mediante prévio e motivado requerimento.;2,44;"É assegurado ao estudante regularmente matriculado, no exercício da liberdade de consciência e de crença, o direito de, mediante prévio e motivado requerimento, ausentar-se de prova ou de aula marcada para dia em que, segundo os preceitos de sua religião, seja vedado o exercício de tais atividades, devendo ser atribuída ao estudante uma das seguintes alternativas: no caso de perda de avaliação, esta deverá ser realizada em data alternativa, no turno de estudo do estudante ou em outro horário agendado com sua anuência expressa; no caso de perda de aulas, deverão ser realizadas atividades de compensação de faltas por motivos religiosos, com data de entrega de?nidos pelo professor responsável pela disciplina.
";2,65;É assegurado ao estudante regularmente matriculado, no exercício da liberdade de consciência e de crença, o direito de, mediante prévio e motivado requerimento, ausentar-se de prova ou de aula marcada para dia em que, segundo os preceitos de sua religião, seja vedado o exercício de tais atividades, devendo ser atribuída ao estudante uma das seguintes alternativas: realização de avaliação em data alternativa ou realização de atividades de compensação de faltas.;6,76;A compensação de falta por motivo religioso é um regime que permite ao estudante ausentar-se de atividades educacionais, como provas ou aulas, em dias em que, de acordo com os preceitos de sua religião, o exercício dessas atividades seja proibido. O estudante tem o direito de solicitar essa compensação mediante requerimento protocolado no DERAC, com uma declaração especificando as datas e horários vetados. As atividades de compensação serão concedidas durante todo o período letivo, dependendo de uma decisão final da diretoria do campus onde o estudante está matriculado, e podem ser realizadas em datas alternativas ou conforme agendadas pelo professor responsável pela disciplina.;5,01;A compensação de falta por motivo religioso é o direito assegurado ao estudante de ausentar-se de aulas ou avaliações em dias em que, segundo os preceitos de sua religião, seja vedado o exercício de tais atividades. Para isso, o estudante deve apresentar um requerimento prévio e motivado, acompanhado de declaração emitida por representante de sua organização religiosa, especificando os dias e horários em que as atividades educacionais não podem ser realizadas. Após o protocolo do requerimento, são concedidas alternativas, como a realização de avaliações em data alternativa ou a realização de atividades de compensação de faltas, definidas pelo professor responsável.;4,66
O que são atividades acompanhadas?;As atividades acompanhadas caracterizam-se pela execução em condições específicas, de atividades designadas por professor e realizadas por estudante que, se cumpridas a contento, substituirão a presença nas aulas.;As Atividades Acompanhadas caracterizam-se pela execução em condições específicas, de atividades designadas pelos professores e realizadas pelo aluno que, se cumpridas a contento, substituirão a presença nas aulas.;2,28;As Atividades Acompanhadas caracterizam-se pela execução em condições específicas, de atividades designadas pelos professores e realizadas pelo aluno que, se cumpridas a contento, substituirão a presença nas aulas.;8,43;Atividades acompanhadas são atividades designadas pelos professores e realizadas pelo aluno em condições específicas, que substituem a presença nas aulas se cumpridas a contento.;2,19;"As Atividades Acompanhadas caracterizam-se pela execução em condições específicas, de atividades designadas pelos professores e realizadas pelo aluno que, se cumpridas a contento, substituirão a presença nas aulas.
";2,5;"
As Atividades Acompanhadas caracterizam-se pela execução em condições específicas, de atividades designadas pelos professores e realizadas pelo aluno que, se cumpridas a contento, substituirão a presença nas aulas.";2,48;As Atividades Acompanhadas caracterizam-se pela execução em condições específicas de atividades designadas pelos professores e realizadas pelo aluno que, se cumpridas a contento, substituirão a presença nas aulas.;2,9;As Atividades Acompanhadas são atividades designadas pelos professores e realizadas pelo aluno em condições específicas, que, se cumpridas a contento, substituem a presença nas aulas.;2,9
Quem pode solicitar atividades acompanhadas?;Poderão solicitar a realização de atividades acompanhadas estudante regularmente matriculado em curso, na modalidade presencial, de: educação profissional técnica de nível médio, de educação profissional tecnológica de graduação e de graduação, da Univers;Alunos regularmente matriculados nos Cursos de Nível Médio e nos Cursos de Graduação da UTFPR que sejam portadores de afecções congênitas ou adquiridas, infecções, traumatismos ou outras condições mórbidas que causem incapacidades físicas relativas, ou alunas em estado de gravidez a partir do oitavo mês de gestação, e alunos pelo nascimento/adoção.;2,36;"Alunos regularmente matriculados nos Cursos de Nível Médio e Graduação da UTFPR que atendam às seguintes condições:  
1. Portadores de afecções congênitas ou adquiridas, infecções, traumatismos ou outras condições mórbidas que causem incapacidade física relativa incompatível com a frequência às aulas, desde que declarem manter condições intelectuais e emocionais para atividades escolares.  
2. Alunas a partir do oitavo mês de gestação (por até três meses) e alunos por nascimento/adoção (por até sete dias).";13,69;"Alunos regularmente matriculados nos Cursos de Nível Médio e nos Cursos de Graduação da UTFPR que atendam as seguintes condições: 

1. Alunos portadores de afecções congênitas ou adquiridas, infecções, traumatismos ou outras condições mórbidas, determinando distúrbios agudos caracterizados por incapacidade física relativa, incompatível com a frequência às aulas, desde que o aluno declare conservar suas condições intelectuais e emocionais para o prosseguimento das atividades escolares em novos moldes.

2. Alunas em estado de gravidez, a partir do oitavo mês de gestação por no máximo três meses, e alunos pelo nascimento/adoção por no máximo 07 dias.";2,73;"Alunos regularmente matriculados nos Cursos de Nível Médio e nos Cursos de Graduação da UTFPR que atendam as seguintes condições:
1. Alunos portadores de afecções congênitas ou adquiridas, infecções, traumatismos ou outras condições mórbidas, determinando distúrbios agudos caracterizados por incapacidade física relativa, incompatível com a frequência às aulas, desde que o aluno declare conservar suas condições intelectuais e emocionais para o prosseguimento das atividades escolares em novos moldes.
2. Alunas em estado de gravidez, a partir do oitavo mês de gestação por no máximo três meses, e alunos pelo nascimento/adoção por no máximo 07 dias.
";2,85;"Alunos regularmente matriculados nos Cursos de Nível Médio e nos Cursos de Graduação da UTFPR que atendam as seguintes condições:
1. Alunos portadores de afecções congênitas ou adquiridas, infecções, traumatismos ou outras condições mórbidas, determinando distúrbios agudos caracterizados por incapacidade física relativa, incompatível com a frequência às aulas, desde que o aluno declare conservar suas condições intelectuais e emocionais para o prosseguimento das atividades escolares em novos moldes.
2. Alunas em estado de gravidez, a partir do oitavo mês de gestação por no máximo três meses, e alunos pelo nascimento/adoção por no máximo 07 dias.";3,44;"Os alunos regularmente matriculados nos Cursos de Nível Médio e nos Cursos de Graduação da UTFPR que atendem a condições específicas podem solicitar atividades acompanhadas. Estas condições incluem:

1. Alunos portadores de afecções congênitas ou adquiridas, infecções, traumatismos ou outras condições mórbidas, determinando distúrbios agudos caracterizados por incapacidade física relativa, desde que o aluno declare conservar suas condições intelectuais e emocionais para o prosseguimento das atividades escolares em novos moldes.
   
2. Alunas em estado de gravidez, a partir do oitavo mês de gestação por no máximo três meses, e alunos pelo nascimento/adoção por no máximo 07 dias.";6,11;"Podem solicitar atividades acompanhadas os alunos regularmente matriculados nos Cursos de Nível Médio e nos Cursos de Graduação da UTFPR que atendam às seguintes condições:

1. Alunos portadores de afecções congênitas ou adquiridas, infecções, traumatismos ou outras condições mórbidas, determinando distúrbios agudos caracterizados por incapacidade física relativa, incompatível com a frequência às aulas, desde que o aluno declare conservar suas condições intelectuais e emocionais para o prosseguimento das atividades escolares em novos moldes.

2. Alunas em estado de gravidez, a partir do oitavo mês de gestação, por no máximo três meses. 

3. Alunos em caso de nascimento ou adoção, por no máximo 07 dias.";9,73
Onde eu devo fazer o pedido de atividades acompanhadas?;A solicitação do regime de atividades acompanhadas deverá ser feita, pelo estudante ou por um representante desse, por meio de requerimento próprio e protocolado no Departamento de Registros Acadêmicos - DERAC.;Você deve protocolar o requerimento no Departamento de Registros Acadêmicos.;1,32;O pedido de atividades acompanhadas deve ser protocolado no Departamento de Registros Acadêmicos.;5,37;Departamento de Registros Acadêmicos.;2,1;"O pedido de atividades acompanhadas deve ser protocolado no Departamento de Registros Acadêmicos.
";2,45;Departamento de Registros Acadêmicos.;1,8;Você deve protocolar o requerimento de Atividades Acompanhadas no Departamento de Registros Acadêmicos.;2,19;Você deve protocolar o requerimento no Departamento de Registros Acadêmicos.;2,55
Tenho prazo para fazer o pedido de atividades acompanhadas?;O requerimento não terá efeito retroativo e a concessão será autorizada a partir da data do protocolo do requerimento no DERAC, se ainda for viável.;Sim, você tem até três dias úteis após o nascimento/adoção para protocolar o requerimento de atividades acompanhadas.;2,23;"Sim, existe prazo específico apenas em alguns casos:  
• **Para nascimento/adoção (caso previsto no item 2 do art. 2º)**: o pedido deve ser protocolado em até **3 (três) dias úteis** após o evento.  
• **Demais situações**: não há prazo fixo para solicitar ao longo do semestre, desde que a soma dos dias de afastamento não ultrapasse **45 (quarenta e cinco) dias** no total.  

*(Resposta baseada nos arts. 4º e §§ dos documentos fornecidos)*";15,54;Sim, o prazo para protocolar o requerimento de atividades acompanhadas é de até 3 dias úteis após o nascimento/adoção, se enquadrado no item 2 do artigo 2 o. Fora esse caso, o pedido deve ser feito no Departamento de Registros Acadêmicos e terá análise em até 3 dias úteis. O prazo de concessão varia de 5 a 45 dias.;2,79;O aluno enquadrado no item 2 do artigo 2º tem até três dias úteis após o nascimento/adoção para protocolar o requerimento. As atividades acompanhadas serão concedidas pelo prazo mínimo de 5 dias e máximo de 45 dias, a contar da data do protocolo do requerimento no Departamento de Registros Acadêmicos, exceto para o caso previsto no item 2 do artigo 2º, limitado à data máxima para o lançamento final de notas prevista no Calendário Acadêmico. O aluno tem o direito de requerer atividades acompanhadas ao longo do semestre, desde que a soma dos dias afastados não ultrapasse 45 dias.;2,23;Sim, você tem até três dias úteis após o nascimento/adoção para protocolar o requerimento, caso esteja enquadrado no item 2 do artigo 2º.;2,28;Sim, o pedido de atividades acompanhadas deve ser protocolado no Departamento de Registros Acadêmicos. Em caso de nascimento ou adoção, o aluno enquadrado no item 2 do artigo 2º tem até três dias úteis após o evento para protocolar o requerimento.;2,67;Sim, o requerimento deve ser protocolado no Departamento de Registros Acadêmicos, e o aluno terá o direito de requerer atividades acompanhadas ao longo do semestre, desde que a soma dos dias afastados nesses requerimentos não ultrapasse 45 dias. Para alunos enquadrados no item 2 do artigo 2º, o prazo é de até três dias úteis após o nascimento ou adoção para protocolar o requerimento.;2,81
Quem tem direito a compensação de falta?;Terá direito à compensação de faltas o estudante que se enquadra nas condições descritas no art. 2º, incisos I ou III desta Resolução, quando o período de afastamento for menor que 5 dias. Será concedido o direito à compensação de faltas ao estudante, em ;O aluno que tiver situação de luto de familiares próximos (pais, madrasta, padrasto, cônjuge, avós, companheiro, filhos, enteados, menor sob guarda ou tutela e irmãos), nas aulas que ocorrerem em até sete dias após o falecimento, tem direito à compensação de faltas.;2,93;"Com base nos documentos, têm direito à compensação de faltas:

1.  Alunos que se enquadram nos itens 1 ou 3 do Artigo 2 da resolução, quando o período de afastamento for menor que o previsto no Artigo 4 (Art. 19).
2.  Alunos em situação de luto por falecimento de familiares próximos (pais, madrasta, padrasto, cônjuge, avós, companheiro, filhos, enteados, menor sob guarda ou tutela e irmãos), para aulas ocorridas em até sete dias após o falecimento (Art. 20).";15,28;"Os alunos que se encaixam nos seguintes casos:

- Alunos que se encaixarem nos itens 1 ou 3 do artigo 2º da resolução, com período de afastamento menor que o previsto no artigo 4º da resolução.
- Alunos com situação de luto de familiares próximos (pais, madrasta, padrasto, cônjuge, avós, companheiro, filhos, enteados, menor sob guarda ou tutela e irmãos), nas aulas que ocorrerem em até sete dias após o falecimento.";3,6;"Terá direito à compensação de faltas o aluno que tiver situação de luto de familiares próximos (pais, madrasta, padrasto, cônjuge, avós, companheiro, filhos, enteados, menor sob guarda ou tutela e irmãos), nas aulas que ocorrerem em até sete dias após o falecimento.
";2,38;"
O aluno que tiver situação de luto de familiares próximos (pais, madrasta, padrasto, cônjuge, avós, companheiro, filhos, enteados, menor sob guarda ou tutela e irmãos), nas aulas que ocorrerem em até sete dias após o falecimento. Também terá direito à compensação de faltas o aluno que se encaixar nos itens 1 ou 3 do artigo 2o, quando o período de afastamento for menor que o previsto no artigo 4o.";7,86;"Os alunos têm direito à compensação de faltas nos seguintes casos:

1. Situação de luto de familiares próximos (pais, madrasta, padrasto, cônjuge, avós, companheiro, filhos, enteados, menor sob guarda ou tutela e irmãos) nas aulas que ocorrerem em até sete dias após o falecimento.

2. Quando o aluno se encaixar nos itens 1 ou 3 do artigo 2º quando o período de afastamento for menor que o previsto no artigo 4º, com a nota final da disciplina igual ou acima de 8,0, e o aluno apresentar o comprovante de direito à compensação de falta diretamente ao professor em até quinze dias da data final do evento.";4,8;O aluno que se encaixar nos itens 1 ou 3 do artigo 2º da resolução, quando o período de afastamento for menor que o previsto no artigo 4º, ou o aluno que tiver situação de luto de familiares próximos (pais, madrasta, padrasto, cônjuge, avós, companheiro, filhos, enteados, menor sob guarda ou tutela e irmãos), nas aulas que ocorrerem em até sete dias após o falecimento.;6,21
